id,code,name,code_old,name_old
activity_725003,3312.0,Reparación de maquinaria,725003,"REPARACIÓN CAJAS REGISTRADORAS, CALCULADORAS, MAQUINAS DE CONTABILIDAD Y EQUIPO"
activity_725004,3312.0,Reparación de maquinaria,725004,"MANTENIMIENTO DE CAJAS REGISTRADORAS, CALCULADORAS, MAQUINAS DE CONTABILIDAD"
activity_729001,6209.0,Otras actividades de la tecnología de información y servicio informáticos,729001,OTRAS ACTIVIDADES DE INFORMÁTICA
activity_731001,7210.0,Investigaciones  y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,731001,INVESTIGACION Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES
activity_731003,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",731003,METEOROLOGO POR CUENTA PROPIA
activity_732001,7220.0,Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades,732001,INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES
activity_741101,6910.0,Actividades jurídicas,741101,"BUFFETE DE ABOGADO, NOTARIO, ASESOR LEGAL"
activity_741203,6920.0,"Actividades de contabilidad, teneduría de libros y auditorías; consultoría fiscal",741203,"ACTVIDAD DE CONTABILIDAD (CONTADORES), TENEDURIA DE LIBROS,AUDITORIA Y ASESOR FINANCIERO"
activity_741301,7320.0,Estudios de mercados y encuestas de opinión pública,741301,ASESORES EN MERCADEO Y VENTAS
activity_74130,74130,2 ENCUESTAS DE OPINIóN PúBLICA,74130,2 ENCUESTAS DE OPINIóN PúBLICA
activity_741401,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",741401,ECONOMISTAS
activity_741402,7020.0,Actividades de consultoría en gestión,741402,ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN (HANDLING)
activity_741407,5229.0,Otras actividades de apoyo al  transporte,741407,ASESOR ADUANERO
activity_741408,9000.0,"Actividades creativas, artísticas y  de entretenimiento ",741408,"CORRESPONSAL DE RADIO, TELEVISION Y PRENSA ESCRITA"
activity_742102,7110.0,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,742102,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA
activity_742105,7110.0,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,742105,SERVICIOS DE CONSULTORIA EN MANTENIMIENTO INDUSTRIAL Y MECANICO
activity_742107,7120.0,Ensayos y análisis técnicos,742107,QUIMICOS
activity_742108,7110.0,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica,742108,ACTIVIDADES DE GEOGRAFIA Y/O GEOLOGIA
activity_742110,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",742110,BIOLOGO POR CUENTA PROPIA
activity_74211,74211,2 DIBUJANTE ARQUITECTONICO Y/O PLANOS DE CONSTRUCCION,74211,2 DIBUJANTE ARQUITECTONICO Y/O PLANOS DE CONSTRUCCION
activity_742201,7120.0,Ensayos y análisis técnicos,742201,ENSAYOS Y ANÁLISIS TÉCNICOS
activity_742202,7120.0,Ensayos y análisis técnicos,742202,PROFESIONALES EN TECNOLOGÍA DE ALIMENTOS
activity_743001,7310.0,Publicidad,743001,PUBLICIDAD
activity_743004,7310.0,Publicidad,743004,SERVICIOS DE PUBLICIDAD
activity_743005,7310.0,Publicidad,743005,ALQUILER DE ESPACIOS PUBLICITARIOS
activity_743006,7310.0,Publicidad,743006,PUBLICIDAD A TRAVES DE MEDIOS ELECTRONICOS
activity_749101,7830.0,Otras actividades de dotación de recursos humanos,749101,SERVICIOS DE ADMINISTRACIÓN DE PERSONAL
activity_749102,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",749102,SERVICIOS DE BIBLIOTECOLOGíA
activity_749201,8010.0,Actividades de seguridad  privada,749201,"SERVICIOS DE INVESTIGACION, SEGURIDAD PRIVADA, AGENCIAS Y CONSULTORES"
activity_749204,8549.0,Otros tipos de enseñanza n.c.p,749204,INSTRUCTOR DE TIRO (MANEJO DE ARMAS).
activity_749301,8129.0,Otras actividades de limpieza de edificios e instalaciones industriales,749301,SERVICIOS DE FUMIGACIóN (NO AGRíCOLA)
activity_749302,8121.0,Limpieza general de edificios,749302,SERVICIOS DE LIMPIEZA (INTERIORES Y EXTERIORES)
activity_749401,7420.0,Actividades de fotografía,749401,ESTUDIOS FOTOGRAFICOS
